S0,S1,S2,S3,main_pump,aux_pump,ultrasound,class
1,1,0,0,0,1,8002,cyber_attack
1,1,0,0,0,1,8013,cyber_attack
1,1,0,0,0,1,8013,cyber_attack
1,1,0,0,0,1,7991,cyber_attack
1,1,0,0,0,1,7996,cyber_attack
1,1,0,0,0,1,8003,cyber_attack
1,1,0,0,0,1,8000,cyber_attack
1,1,0,0,0,1,8002,cyber_attack
1,1,0,0,0,1,7993,cyber_attack
1,1,0,0,0,1,7982,cyber_attack
1,1,0,0,0,1,7993,cyber_attack
1,1,0,0,0,1,7989,cyber_attack
1,1,0,0,0,1,7992,cyber_attack
1,1,0,0,0,1,7980,cyber_attack
1,1,0,0,0,1,7978,cyber_attack
1,1,0,0,0,1,7984,cyber_attack
1,1,0,0,0,1,7980,cyber_attack
1,1,0,0,0,1,7969,cyber_attack
1,1,0,0,0,1,7979,cyber_attack
1,1,0,0,0,1,7967,cyber_attack
1,1,0,0,0,1,7967,cyber_attack
1,1,0,0,0,1,7971,cyber_attack
1,1,0,0,0,1,7960,cyber_attack
1,1,0,0,0,1,7969,cyber_attack
1,1,0,0,0,1,7969,cyber_attack
1,1,0,0,0,1,7956,cyber_attack
1,1,0,0,0,1,7952,cyber_attack
1,1,0,0,0,1,7963,cyber_attack
1,1,0,0,0,1,7964,cyber_attack
1,1,0,0,0,1,7954,cyber_attack
1,1,0,0,0,1,7948,cyber_attack
1,1,0,0,0,1,7941,cyber_attack
1,1,0,0,0,1,7949,cyber_attack
1,1,0,0,0,1,7954,cyber_attack
1,1,0,0,0,1,7951,cyber_attack
1,1,0,0,0,1,7931,cyber_attack
1,1,0,0,0,1,7940,cyber_attack
1,1,0,0,0,1,7936,cyber_attack
1,1,0,0,0,1,7941,cyber_attack
1,1,0,0,0,1,7931,cyber_attack
1,1,0,0,0,1,7930,cyber_attack
1,1,0,0,0,1,7935,cyber_attack
1,1,0,0,0,1,7923,cyber_attack
1,1,0,0,0,1,7932,cyber_attack
1,1,0,0,0,1,7935,cyber_attack
1,1,0,0,0,1,7918,cyber_attack
1,1,0,0,0,1,7925,cyber_attack
1,1,0,0,0,1,7925,cyber_attack
1,1,0,0,0,1,7914,cyber_attack
1,1,0,0,0,1,7915,cyber_attack
1,1,0,0,0,1,7921,cyber_attack
1,1,0,0,0,1,7902,cyber_attack
1,1,0,0,0,1,7917,cyber_attack
1,1,0,0,0,1,7909,cyber_attack
1,1,0,0,0,1,7903,cyber_attack
1,1,0,0,0,1,7912,cyber_attack
1,1,0,0,0,1,7915,cyber_attack
1,1,0,0,0,1,7904,cyber_attack
1,1,0,0,0,1,7904,cyber_attack
1,1,0,0,0,1,7906,cyber_attack
1,1,0,0,0,1,7896,cyber_attack
1,1,0,0,0,1,7906,cyber_attack
1,1,0,0,0,1,7897,cyber_attack
1,1,0,0,0,1,7884,cyber_attack
1,1,0,0,0,1,7890,cyber_attack
1,1,0,0,0,1,7895,cyber_attack
1,1,0,0,0,1,7895,cyber_attack
1,1,0,0,0,1,7896,cyber_attack
1,1,0,0,0,1,7887,cyber_attack
1,1,0,0,0,1,7886,cyber_attack
1,1,0,0,0,1,7885,cyber_attack
1,1,0,0,0,1,7886,cyber_attack
1,1,0,0,0,1,7877,cyber_attack
1,1,0,0,0,1,7886,cyber_attack
1,1,0,0,0,1,7885,cyber_attack
1,1,0,0,0,1,7871,cyber_attack
1,1,0,0,0,1,7868,cyber_attack
1,1,0,0,0,1,7876,cyber_attack
1,1,0,0,0,1,7876,cyber_attack
1,1,0,0,0,1,7865,cyber_attack
1,1,0,0,0,1,7865,cyber_attack
1,1,0,0,0,1,7853,cyber_attack
1,1,0,0,0,1,7866,cyber_attack
1,1,0,0,0,1,7866,cyber_attack
1,1,0,0,0,1,7862,cyber_attack
1,1,0,0,0,1,7853,cyber_attack
1,1,0,0,0,1,7844,cyber_attack
1,1,0,0,0,1,7848,cyber_attack
1,1,0,0,0,1,7857,cyber_attack
1,1,0,0,0,1,7857,cyber_attack
1,1,0,0,0,1,7857,cyber_attack
1,1,0,0,0,1,7852,cyber_attack
1,1,0,0,0,1,7835,cyber_attack
1,1,0,0,0,1,7842,cyber_attack
1,1,0,0,0,1,7848,cyber_attack
1,1,0,0,0,1,7842,cyber_attack
1,1,0,0,0,1,7846,cyber_attack
1,1,0,0,0,1,7836,cyber_attack
1,1,0,0,0,1,7827,cyber_attack
1,1,0,0,0,1,7837,cyber_attack
1,1,0,0,0,1,7837,cyber_attack
1,1,0,0,0,1,7826,cyber_attack
1,1,0,0,0,1,7827,cyber_attack
1,1,0,0,0,1,7827,cyber_attack
1,1,0,0,0,1,7827,cyber_attack
1,1,0,0,0,1,7827,cyber_attack
1,1,0,0,0,1,7821,cyber_attack
1,1,0,0,0,1,7826,cyber_attack
1,1,0,0,0,1,7827,cyber_attack
1,1,0,0,0,1,7807,cyber_attack
1,1,0,0,0,1,7807,cyber_attack
1,1,0,0,0,1,7804,cyber_attack
1,1,0,0,0,1,7813,cyber_attack
1,1,0,0,0,1,7818,cyber_attack
1,1,0,0,0,1,7805,cyber_attack
1,1,0,0,0,1,7794,cyber_attack
1,1,0,0,0,1,7803,cyber_attack
1,1,0,0,0,1,7809,cyber_attack
1,1,0,0,0,1,7808,cyber_attack
1,1,0,0,0,1,7798,cyber_attack
1,1,0,0,0,1,7788,cyber_attack
1,1,0,0,0,1,7788,cyber_attack
1,1,0,0,0,1,7797,cyber_attack
1,1,0,0,0,1,7798,cyber_attack
1,1,0,0,0,1,7788,cyber_attack
1,1,0,0,0,1,7788,cyber_attack
1,1,0,0,0,1,7787,cyber_attack
1,1,0,0,0,1,7776,cyber_attack
1,1,0,0,0,1,7787,cyber_attack
1,1,0,0,0,1,7787,cyber_attack
1,1,0,0,0,1,7776,cyber_attack
1,1,0,0,0,1,7771,cyber_attack
1,1,0,0,0,1,7768,cyber_attack
1,1,0,0,0,1,7777,cyber_attack
1,1,0,0,0,1,7779,cyber_attack
1,1,0,0,0,1,7770,cyber_attack
1,1,0,0,0,1,7768,cyber_attack
1,1,0,0,0,1,7768,cyber_attack
1,1,0,0,0,1,7770,cyber_attack
1,1,0,0,0,1,7763,cyber_attack
1,1,0,0,0,1,7766,cyber_attack
1,1,0,0,0,1,7769,cyber_attack
1,1,0,0,0,1,7763,cyber_attack
1,1,0,0,0,1,7759,cyber_attack
1,1,0,0,0,1,7757,cyber_attack
1,1,0,0,0,1,7759,cyber_attack
1,1,0,0,0,1,7752,cyber_attack
1,1,0,0,0,1,7759,cyber_attack
1,1,0,0,0,1,7758,cyber_attack
1,1,0,0,0,1,7749,cyber_attack
1,1,0,0,0,1,7741,cyber_attack
1,1,0,0,0,1,7739,cyber_attack
1,1,0,0,0,1,7748,cyber_attack
1,1,0,0,0,1,7749,cyber_attack
1,1,0,0,0,1,7739,cyber_attack
1,1,0,0,0,1,7735,cyber_attack
1,1,0,0,0,1,7728,cyber_attack
1,1,0,0,0,1,7735,cyber_attack
1,1,0,0,0,1,7741,cyber_attack
1,1,0,0,0,1,7736,cyber_attack
1,1,0,0,0,1,7718,cyber_attack
1,1,0,0,0,1,7724,cyber_attack
1,1,0,0,0,1,7720,cyber_attack
1,1,0,0,0,1,7728,cyber_attack
1,1,0,0,0,1,7730,cyber_attack
1,1,0,0,0,1,7721,cyber_attack
1,1,0,0,0,1,7710,cyber_attack
1,1,0,0,0,1,7719,cyber_attack
1,1,0,0,0,1,7720,cyber_attack
1,1,0,0,0,1,7721,cyber_attack
1,1,0,0,0,1,7715,cyber_attack
1,1,0,0,0,1,7708,cyber_attack
1,1,0,0,0,1,7707,cyber_attack
1,1,0,0,0,1,7700,cyber_attack
1,1,0,0,0,1,7700,cyber_attack
1,1,0,0,0,1,7710,cyber_attack
1,1,0,0,0,1,7710,cyber_attack
1,1,0,0,0,1,7689,cyber_attack
1,1,0,0,0,1,7692,cyber_attack
1,1,0,0,0,1,7700,cyber_attack
1,1,0,0,0,1,7698,cyber_attack
1,1,0,0,0,1,7700,cyber_attack
1,1,0,0,0,1,7696,cyber_attack
1,1,0,0,0,1,7688,cyber_attack
1,1,0,0,0,1,7691,cyber_attack
1,1,0,0,0,1,7687,cyber_attack
1,1,0,0,0,1,7678,cyber_attack
1,1,0,0,0,1,7687,cyber_attack
1,1,0,0,0,1,7691,cyber_attack
1,1,0,0,0,1,7680,cyber_attack
1,1,0,0,0,1,7677,cyber_attack
1,1,0,0,0,1,7681,cyber_attack
1,1,0,0,0,1,7677,cyber_attack
1,1,0,0,0,1,7669,cyber_attack
1,1,0,0,0,1,7660,cyber_attack
1,1,0,0,0,1,7663,cyber_attack
1,1,0,0,0,1,7670,cyber_attack
1,1,0,0,0,1,7671,cyber_attack
1,1,0,0,0,1,7660,cyber_attack
1,1,0,0,0,1,7653,cyber_attack
1,1,0,0,0,1,7649,cyber_attack
1,1,0,0,0,1,7659,cyber_attack
1,1,0,0,0,1,7661,cyber_attack
1,1,0,0,0,1,7656,cyber_attack
1,1,0,0,0,1,7649,cyber_attack
1,1,0,0,0,1,7653,cyber_attack
1,1,0,0,0,1,7652,cyber_attack
1,1,0,0,0,1,7647,cyber_attack
1,1,0,0,0,1,7639,cyber_attack
1,1,0,0,0,1,7641,cyber_attack
1,1,0,0,0,1,7636,cyber_attack
1,1,0,0,0,1,7637,cyber_attack
1,1,0,0,0,1,7630,cyber_attack
1,1,0,0,0,1,7638,cyber_attack
1,1,0,0,0,1,7643,cyber_attack
1,1,0,0,0,1,7637,cyber_attack
1,1,0,0,0,1,7620,cyber_attack
1,1,0,0,0,1,7628,cyber_attack
1,1,0,0,0,1,7624,cyber_attack
1,1,0,0,0,1,7632,cyber_attack
1,1,0,0,0,1,7632,cyber_attack
1,1,0,0,0,1,7619,cyber_attack
1,1,0,0,0,1,7615,cyber_attack
1,1,0,0,0,1,7622,cyber_attack
1,1,0,0,0,1,7622,cyber_attack
1,1,0,0,0,1,7622,cyber_attack
1,1,0,0,0,1,7619,cyber_attack
1,1,0,0,0,1,7621,cyber_attack
1,1,0,0,0,1,7609,cyber_attack
1,1,0,0,0,1,7613,cyber_attack
1,1,0,0,0,1,7610,cyber_attack
1,1,0,0,0,1,7602,cyber_attack
