S0,S1,S2,S3,main_pump,aux_pump,ultrasound,class
1,1,1,1,0,0,485,object
1,1,1,1,0,0,488,object
1,1,1,1,0,0,484,object
1,1,1,1,0,0,480,object
1,1,1,1,0,0,490,object
1,1,1,1,0,0,467,object
1,1,1,1,0,0,450,object
1,1,1,1,0,0,493,object
1,1,1,1,0,0,449,object
1,1,1,1,0,0,502,object
1,1,1,1,0,0,424,object
1,1,1,1,0,0,484,object
1,1,1,1,0,0,435,object
1,1,1,1,0,0,460,object
1,1,1,1,0,0,473,object
1,1,1,1,0,0,473,object
1,1,1,1,0,0,434,object
1,1,1,1,0,0,455,object
1,1,1,1,0,0,422,object
1,1,1,1,0,0,477,object
1,1,1,1,0,0,413,object
1,1,1,1,0,0,444,object
1,1,1,1,0,0,450,object
1,1,1,1,0,0,440,object
1,1,1,1,0,0,453,object
1,1,1,1,0,0,438,object
1,1,1,1,0,0,444,object
1,1,1,1,0,0,413,object
1,1,1,1,0,0,441,object
1,1,1,1,0,0,414,object
1,1,1,1,0,0,425,object
1,1,1,1,0,0,417,object
1,1,1,1,0,0,420,object
1,1,1,1,0,0,423,object
1,1,1,1,0,0,424,object
1,1,1,1,0,0,417,object
1,1,1,1,0,0,407,object
1,1,1,1,0,0,416,object
1,1,1,1,0,0,414,object
1,1,1,1,0,0,406,object
1,1,1,1,0,0,405,object
1,1,1,1,0,0,411,object
1,1,1,1,0,0,403,object
1,1,1,1,0,0,400,object
1,1,1,1,0,0,400,object
1,1,1,1,0,0,405,object
1,1,1,1,0,0,407,object
1,1,1,1,0,0,407,object
1,1,1,1,0,0,397,object
1,1,1,1,0,0,397,object
1,1,1,1,0,0,395,object
1,1,1,1,0,0,396,object
1,1,1,1,0,0,398,object
1,1,1,1,0,0,394,object
1,1,1,1,0,0,398,object
1,1,1,1,0,0,394,object
1,1,1,1,0,0,400,object
1,1,1,1,1,0,397,object
1,1,1,1,1,0,396,object
1,1,1,1,1,0,392,object
1,1,1,1,1,0,372,object
1,1,1,1,1,0,435,object
1,1,1,1,1,0,524,object
1,1,1,1,1,0,510,object
1,1,1,1,1,0,510,object
1,1,1,1,1,0,460,object
1,1,1,1,1,0,429,object
1,1,1,1,1,0,491,object
1,1,1,1,1,0,485,object
1,1,1,1,1,0,485,object
1,1,1,1,1,0,436,object
1,1,1,1,1,0,477,object
1,1,1,1,1,0,364,object
1,1,1,1,1,0,461,object
1,1,1,1,1,0,516,object
1,1,1,1,1,0,572,object
1,1,1,1,1,0,491,object
1,1,1,1,1,0,583,object
1,1,1,1,1,0,587,object
1,1,1,1,1,0,543,object
1,1,1,1,1,0,590,object
1,1,1,1,1,0,561,object
1,1,1,1,1,0,543,object
1,1,1,1,1,0,530,object
1,1,1,1,1,0,651,object
1,1,1,1,1,0,639,object
1,1,1,1,1,0,681,object
1,1,1,1,1,0,695,object
1,1,1,1,1,0,566,object
1,1,1,1,1,0,621,object
1,1,1,1,1,0,737,object
1,1,1,1,1,0,750,object
1,1,1,1,1,0,748,object
1,1,1,1,1,0,762,object
1,1,1,0,1,0,778,object
1,1,1,0,1,0,786,object
1,1,1,0,1,0,621,object
1,1,1,0,1,0,783,object
1,1,1,0,1,0,803,object
1,1,1,0,1,0,794,object
1,1,1,0,1,0,648,object
1,1,1,0,1,0,656,object
1,1,1,0,1,0,724,object
1,1,1,0,1,0,827,object
1,1,1,0,1,0,838,object
1,1,1,0,1,0,836,object
1,1,1,0,1,0,750,object
1,1,1,0,1,0,806,object
1,1,1,0,1,0,772,object
1,1,1,0,1,0,867,object
1,1,1,0,1,0,881,object
1,1,1,0,1,0,862,object
1,1,1,0,1,0,895,object
1,1,1,0,1,0,873,object
