S0,S1,S2,S3,main_pump,aux_pump,ultrasound,class
1,1,0,0,0,0,5221,wet_sensor
1,1,0,0,0,0,5218,wet_sensor
1,1,0,0,0,0,5209,wet_sensor
1,1,0,0,0,0,5212,wet_sensor
1,1,0,0,0,0,5209,wet_sensor
1,1,0,0,0,0,5210,wet_sensor
1,1,0,0,0,0,5210,wet_sensor
1,1,0,0,0,0,5211,wet_sensor
1,1,0,0,0,0,5199,wet_sensor
1,1,0,0,0,0,5201,wet_sensor
1,1,0,0,0,0,5203,wet_sensor
1,1,0,0,0,0,5199,wet_sensor
1,1,0,0,0,0,5199,wet_sensor
1,1,0,0,0,0,5193,wet_sensor
1,1,0,0,0,0,5189,wet_sensor
1,1,0,0,0,0,5188,wet_sensor
1,1,0,0,0,0,5192,wet_sensor
1,1,0,0,0,0,5190,wet_sensor
1,1,0,0,0,0,5183,wet_sensor
1,1,0,0,0,0,5183,wet_sensor
1,1,0,0,0,0,5182,wet_sensor
1,1,0,0,0,0,5181,wet_sensor
1,1,0,0,0,0,5183,wet_sensor
1,1,0,0,0,0,5182,wet_sensor
1,1,0,0,0,0,5173,wet_sensor
1,1,0,0,0,0,5167,wet_sensor
1,1,0,0,0,0,5168,wet_sensor
1,1,0,0,0,0,5176,wet_sensor
1,1,0,0,0,0,5174,wet_sensor
1,1,0,0,0,0,5173,wet_sensor
1,1,0,0,0,0,5163,wet_sensor
1,1,0,0,0,0,5157,wet_sensor
1,1,0,0,0,0,5162,wet_sensor
1,1,0,0,0,0,5163,wet_sensor
1,1,0,0,0,0,5165,wet_sensor
1,1,0,0,0,0,5155,wet_sensor
1,1,0,0,0,0,5148,wet_sensor
1,1,0,0,0,0,5154,wet_sensor
1,1,0,0,0,0,5154,wet_sensor
1,1,0,0,0,0,5154,wet_sensor
1,1,0,0,0,0,5154,wet_sensor
1,1,0,0,0,0,5143,wet_sensor
1,1,0,0,0,0,5143,wet_sensor
1,1,0,0,0,0,5145,wet_sensor
1,1,0,0,0,0,5145,wet_sensor
1,1,0,0,0,0,5145,wet_sensor
1,1,0,0,0,0,5142,wet_sensor
1,1,0,0,0,0,5135,wet_sensor
1,1,0,0,0,0,5135,wet_sensor
1,1,0,0,0,0,5133,wet_sensor
1,1,0,0,0,0,5133,wet_sensor
1,1,0,0,0,0,5132,wet_sensor
1,1,0,0,0,0,5123,wet_sensor
1,1,0,0,0,0,5123,wet_sensor
1,1,0,0,0,0,5123,wet_sensor
1,1,0,0,0,0,5117,wet_sensor
1,1,0,0,0,0,5122,wet_sensor
1,1,0,0,0,0,5124,wet_sensor
1,1,0,0,0,0,5110,wet_sensor
1,1,0,0,0,0,5113,wet_sensor
1,1,0,0,0,0,5116,wet_sensor
1,1,0,0,0,0,5112,wet_sensor
1,1,0,0,0,0,5112,wet_sensor
1,1,0,0,0,0,5116,wet_sensor
1,1,0,0,0,0,5105,wet_sensor
1,1,0,0,0,0,5104,wet_sensor
1,1,0,0,0,0,5106,wet_sensor
1,1,0,0,0,0,5102,wet_sensor
1,1,0,0,0,0,5105,wet_sensor
1,1,0,0,0,0,5095,wet_sensor
1,1,0,0,0,0,5096,wet_sensor
1,1,0,0,0,0,5096,wet_sensor
1,1,0,0,0,0,5090,wet_sensor
1,1,0,0,0,0,5093,wet_sensor
1,1,0,0,0,0,5080,wet_sensor
1,1,0,0,0,0,5079,wet_sensor
1,1,0,0,0,0,5082,wet_sensor
1,1,0,0,0,0,5079,wet_sensor
1,1,0,0,0,0,5087,wet_sensor
1,1,0,0,0,0,5082,wet_sensor
1,1,0,0,0,0,5071,wet_sensor
1,1,0,0,0,0,5073,wet_sensor
1,1,0,0,0,0,5076,wet_sensor
1,1,0,0,0,0,5072,wet_sensor
1,1,0,0,0,0,5071,wet_sensor
1,1,0,0,0,0,5062,wet_sensor
1,1,0,0,0,0,5063,wet_sensor
1,1,0,0,0,0,5065,wet_sensor
1,1,0,0,0,0,5067,wet_sensor
1,1,0,0,0,0,5067,wet_sensor
1,1,0,0,0,0,5065,wet_sensor
1,1,0,0,0,0,5051,wet_sensor
1,1,0,0,0,0,5057,wet_sensor
1,1,0,0,0,0,5056,wet_sensor
1,1,0,0,0,0,5054,wet_sensor
1,1,0,0,0,0,5056,wet_sensor
1,1,0,0,0,0,5055,wet_sensor
1,1,0,0,0,0,5046,wet_sensor
1,1,0,0,0,0,5039,wet_sensor
1,1,0,0,0,0,5044,wet_sensor
1,1,0,0,0,0,5045,wet_sensor
1,1,0,0,0,0,5048,wet_sensor
1,1,0,0,0,0,5041,wet_sensor
1,1,0,0,0,0,5032,wet_sensor
1,1,0,0,0,0,5034,wet_sensor
1,1,0,0,0,0,5038,wet_sensor
1,1,0,0,0,0,5038,wet_sensor
1,1,0,0,0,0,5037,wet_sensor
1,1,0,0,0,0,5022,wet_sensor
1,1,0,0,0,0,5028,wet_sensor
1,1,0,0,0,0,5026,wet_sensor
1,1,0,0,0,0,5026,wet_sensor
1,1,0,0,0,0,5029,wet_sensor
1,1,0,0,0,0,5027,wet_sensor
1,1,0,0,0,0,5018,wet_sensor
1,1,0,0,0,0,5015,wet_sensor
