S0,S1,S2,S3,main_pump,aux_pump,ultrasound,class
1,1,0,0,1,1,43,blocked
1,1,0,0,1,1,24,blocked
1,1,0,0,1,1,35,blocked
1,1,0,0,1,1,55,blocked
1,1,0,0,1,1,33,blocked
1,1,0,0,1,1,40,blocked
1,1,0,0,1,1,58,blocked
1,1,0,0,1,1,29,blocked
1,1,0,0,1,1,84,blocked
1,1,0,0,1,1,118,blocked
1,1,0,0,1,1,151,blocked
1,1,0,0,1,1,162,blocked
1,1,0,0,1,1,131,blocked
1,1,0,0,1,1,153,blocked
1,1,0,0,1,1,151,blocked
1,1,0,0,1,1,178,blocked
1,1,0,0,1,1,121,blocked
1,1,0,0,1,1,171,blocked
1,1,0,0,1,1,191,blocked
1,1,0,0,1,1,189,blocked
1,1,0,0,1,1,206,blocked
1,1,0,0,1,1,207,blocked
1,1,0,0,1,1,209,blocked
1,1,0,0,1,1,235,blocked
1,1,0,0,1,1,219,blocked
1,1,0,0,1,1,258,blocked
1,1,0,0,1,1,235,blocked
1,1,0,0,1,1,251,blocked
1,1,0,0,1,1,258,blocked
1,1,0,0,1,1,274,blocked
1,1,0,0,1,1,253,blocked
1,1,0,0,1,1,289,blocked
1,1,0,0,1,1,274,blocked
1,1,0,0,1,1,292,blocked
1,1,0,0,1,1,303,blocked
1,1,0,0,1,1,317,blocked
1,1,0,0,1,1,318,blocked
1,1,0,0,1,1,326,blocked
1,1,0,0,1,1,366,blocked
1,1,0,0,1,1,383,blocked
1,1,0,0,1,1,352,blocked
1,1,0,0,1,1,366,blocked
1,1,0,0,1,1,374,blocked
1,1,0,0,1,1,401,blocked
1,1,0,0,1,1,394,blocked
1,1,0,0,1,1,366,blocked
1,1,0,0,1,1,414,blocked
1,1,0,0,1,1,419,blocked
1,1,0,0,1,1,424,blocked
1,1,0,0,1,1,445,blocked
1,1,0,0,1,1,463,blocked
1,1,0,0,1,1,458,blocked
1,1,0,0,1,1,474,blocked
1,1,0,0,1,1,472,blocked
1,1,0,0,1,1,483,blocked
1,1,0,0,1,1,494,blocked
1,1,0,0,1,1,468,blocked
1,1,0,0,1,1,490,blocked
1,1,0,0,1,1,479,blocked
1,1,0,0,1,1,499,blocked
1,1,0,0,1,1,543,blocked
1,1,0,0,1,1,503,blocked
1,1,0,0,1,1,518,blocked
1,1,0,0,1,1,533,blocked
1,1,0,0,1,1,534,blocked
1,1,0,0,1,1,562,blocked
1,1,0,0,1,1,552,blocked
1,1,0,0,1,1,545,blocked
1,1,0,0,1,1,551,blocked
1,1,0,0,1,1,587,blocked
1,1,0,0,1,1,576,blocked
1,1,0,0,1,1,576,blocked
1,1,0,0,1,1,610,blocked
1,1,0,0,1,1,583,blocked
1,1,0,0,1,1,615,blocked
1,1,0,0,1,1,597,blocked
1,1,0,0,1,1,639,blocked
1,1,0,0,1,1,670,blocked
1,1,0,0,1,1,621,blocked
1,1,0,0,1,1,583,blocked
1,1,0,0,1,1,634,blocked
1,1,0,0,1,1,676,blocked
1,1,0,0,1,1,695,blocked
1,1,0,0,1,1,684,blocked
1,1,0,0,1,1,684,blocked
1,1,0,0,1,1,665,blocked
1,1,0,0,1,1,707,blocked
1,1,0,0,1,1,751,blocked
1,1,0,0,1,1,782,blocked
1,1,0,0,1,1,748,blocked
1,1,0,0,1,1,762,blocked
1,1,0,0,1,1,742,blocked
1,1,0,0,1,1,737,blocked
1,1,0,0,1,1,738,blocked
1,1,0,0,1,1,778,blocked
1,1,0,0,1,1,759,blocked
1,1,0,0,1,1,786,blocked
1,1,0,0,1,1,776,blocked
1,1,0,0,1,1,722,blocked
1,1,0,0,1,1,781,blocked
1,1,0,0,1,1,821,blocked
1,1,0,0,1,1,888,blocked
1,1,0,0,1,1,873,blocked
1,1,0,0,1,1,848,blocked
1,1,0,0,1,1,822,blocked
1,1,0,0,1,1,910,blocked
1,1,0,0,1,1,888,blocked
1,1,0,0,1,1,912,blocked
1,1,0,0,1,1,891,blocked
1,1,0,0,1,1,908,blocked
1,1,0,0,1,1,873,blocked
1,1,0,0,1,1,842,blocked
1,1,0,0,1,1,932,blocked
1,1,0,0,1,1,933,blocked
1,1,0,0,1,1,888,blocked
1,1,0,0,1,1,908,blocked
1,1,0,0,1,1,961,blocked
1,1,0,0,1,1,945,blocked
1,1,0,0,1,1,908,blocked
1,1,0,0,1,1,943,blocked
1,1,0,0,1,1,981,blocked
1,1,0,0,1,1,949,blocked
1,1,0,0,1,1,1002,blocked
1,1,0,0,1,1,971,blocked
1,1,0,0,1,1,991,blocked
1,1,0,0,1,1,967,blocked
1,1,0,0,1,1,997,blocked
1,1,0,0,1,1,1025,blocked
1,1,0,0,1,1,1035,blocked
1,1,0,0,1,1,1021,blocked
1,1,0,0,1,1,1066,blocked
1,1,0,0,1,1,1041,blocked
1,1,0,0,1,1,1046,blocked
1,1,0,0,1,1,1053,blocked
1,1,0,0,1,1,1046,blocked
1,1,0,0,1,1,1111,blocked
1,1,0,0,1,1,1066,blocked
1,1,0,0,1,1,1070,blocked
1,1,0,0,1,1,1098,blocked
1,1,0,0,1,1,1090,blocked
1,1,0,0,1,1,1082,blocked
1,1,0,0,1,1,1115,blocked
1,1,0,0,1,1,1096,blocked
1,1,0,0,1,1,1127,blocked
1,1,0,0,1,1,1146,blocked
1,1,0,0,1,1,1097,blocked
1,1,0,0,1,1,1153,blocked
1,1,0,0,1,1,1168,blocked
1,1,0,0,1,1,1157,blocked
1,1,0,0,1,1,1168,blocked
1,1,0,0,1,1,1138,blocked
1,1,0,0,1,1,1197,blocked
1,1,0,0,1,1,1191,blocked
1,1,0,0,1,1,1184,blocked
1,1,0,0,1,1,1191,blocked
1,1,0,0,1,1,1215,blocked
1,1,0,0,1,1,1196,blocked
1,1,0,0,1,1,1205,blocked
1,1,0,0,1,1,1207,blocked
1,1,0,0,1,1,1254,blocked
1,1,0,0,1,1,1240,blocked
1,1,0,0,1,1,1249,blocked
1,1,0,0,1,1,1208,blocked
1,1,0,0,1,1,1264,blocked
1,1,0,0,1,1,1254,blocked
1,1,0,0,1,1,1270,blocked
1,1,0,0,1,1,1286,blocked
1,1,0,0,1,1,1262,blocked
1,1,0,0,1,1,1284,blocked
1,1,0,0,1,1,1207,blocked
1,1,0,0,1,1,1320,blocked
1,1,0,0,1,1,1302,blocked
1,1,0,0,1,1,1334,blocked
1,1,0,0,1,1,1319,blocked
1,1,0,0,1,1,1342,blocked
1,1,0,0,1,1,1281,blocked
1,1,0,0,1,1,1353,blocked
1,1,0,0,1,1,1370,blocked
1,1,0,0,1,1,1363,blocked
1,1,0,0,1,1,1372,blocked
1,1,0,0,1,1,1342,blocked
1,1,0,0,1,1,1372,blocked
1,1,0,0,1,1,1380,blocked
1,1,0,0,1,1,1381,blocked
1,1,0,0,1,1,1383,blocked
1,1,0,0,1,1,1411,blocked
1,1,0,0,1,1,1411,blocked
1,1,0,0,1,1,1431,blocked
1,1,0,0,1,1,1420,blocked
1,1,0,0,1,1,1441,blocked
