S0,S1,S2,S3,main_pump,aux_pump,ultrasound,class
1,0,0,0,0,0,7906,hits
1,0,0,0,0,0,7886,hits
1,0,0,0,0,0,7896,hits
1,0,0,0,0,0,7895,hits
1,0,0,0,0,0,7884,hits
1,0,0,0,0,0,7887,hits
1,0,0,0,0,0,7881,hits
1,0,0,0,0,0,7873,hits
1,0,0,0,0,0,7887,hits
1,0,0,0,0,0,7877,hits
1,0,0,0,0,0,7875,hits
1,0,0,0,0,0,7885,hits
1,0,0,0,0,0,7864,hits
1,0,0,0,0,0,7868,hits
1,0,0,0,0,0,7876,hits
1,0,0,0,0,0,7863,hits
1,0,0,0,0,0,7870,hits
1,0,0,0,0,0,7859,hits
1,0,0,0,0,0,7854,hits
1,0,0,0,0,0,7864,hits
1,0,0,0,0,0,7857,hits
1,0,0,0,0,0,7847,hits
1,0,0,0,0,0,7857,hits
1,0,0,0,0,0,7844,hits
1,0,0,0,0,0,7851,hits
1,0,0,0,0,0,7857,hits
1,0,0,0,0,0,7847,hits
1,0,0,0,0,0,7842,hits
1,0,0,0,0,0,7847,hits
1,0,0,0,0,0,7844,hits
1,0,0,0,0,0,7826,hits
1,0,0,0,0,0,7838,hits
1,0,0,0,0,0,7831,hits
1,0,0,0,0,0,7837,hits
1,0,0,0,0,0,7837,hits
1,0,0,0,0,0,7816,hits
1,0,0,0,0,0,7818,hits
1,0,0,0,0,0,7825,hits
1,0,0,0,0,0,7815,hits
1,0,0,0,0,0,7829,hits
1,0,0,0,0,0,7810,hits
1,0,0,0,0,0,7812,hits
1,0,0,0,0,0,7815,hits
1,0,0,0,0,0,7808,hits
1,0,0,0,0,0,7809,hits
1,0,0,0,0,0,7818,hits
1,0,0,0,0,0,7796,hits
1,0,0,0,0,0,7802,hits
1,0,0,0,0,0,7808,hits
1,0,0,0,0,0,7786,hits
1,0,0,0,0,0,7796,hits
1,0,0,0,0,0,7798,hits
1,0,0,0,0,0,7787,hits
1,0,0,0,0,0,7797,hits
1,0,0,0,0,0,7794,hits
1,0,0,0,0,0,7786,hits
1,0,0,0,0,0,7788,hits
1,0,0,0,0,0,7788,hits
1,0,0,0,0,0,7777,hits
1,0,0,0,0,0,7779,hits
1,0,0,0,0,0,7785,hits
1,0,0,0,0,0,7766,hits
1,0,0,0,0,0,7779,hits
1,0,0,0,0,0,7761,hits
1,0,0,0,0,0,7761,hits
1,0,0,0,0,0,7768,hits
1,0,0,0,0,0,7758,hits
1,0,0,0,0,0,7761,hits
1,0,0,0,0,0,7758,hits
1,0,0,0,0,0,7747,hits
1,0,0,0,0,0,7754,hits
1,0,0,0,0,0,7752,hits
1,0,0,0,0,0,7748,hits
1,0,0,0,0,0,7757,hits
1,0,0,0,0,0,7748,hits
1,0,0,0,0,0,7742,hits
1,0,0,0,0,0,7749,hits
1,0,0,0,0,0,7737,hits
1,0,0,0,0,0,7741,hits
1,0,0,0,0,0,7739,hits
1,0,0,0,0,0,7728,hits
1,0,0,0,0,0,7737,hits
1,0,0,0,0,0,7741,hits
1,0,0,0,0,0,7725,hits
1,0,0,0,0,0,7730,hits
1,0,0,0,0,0,7730,hits
1,0,0,0,0,0,7720,hits
1,0,0,0,0,0,7730,hits
1,0,0,0,0,0,7718,hits
1,0,0,0,0,0,7718,hits
1,0,0,0,0,0,7721,hits
1,0,0,0,0,0,7713,hits
1,0,0,0,0,0,7709,hits
1,0,0,0,0,0,7709,hits
1,0,0,0,0,0,7699,hits
1,0,0,0,0,0,7711,hits
1,0,0,0,0,0,7707,hits
1,0,0,0,0,0,7688,hits
1,0,0,0,0,0,7698,hits
1,0,0,0,0,0,7702,hits
1,0,0,0,0,0,7692,hits
1,0,0,0,0,0,7699,hits
1,0,0,0,0,0,7691,hits
1,0,0,0,0,0,7685,hits
1,0,0,0,0,0,7691,hits
1,0,0,0,0,0,7678,hits
1,0,0,0,0,0,7688,hits
1,0,0,0,0,0,7691,hits
1,0,0,0,0,0,7672,hits
1,0,0,0,0,0,7680,hits
1,0,0,0,0,0,7681,hits
1,0,0,0,0,0,7664,hits
1,0,0,0,0,0,7671,hits
1,0,0,0,0,0,7670,hits
1,0,0,0,0,0,7660,hits
1,0,0,0,0,0,7654,hits
1,0,0,0,0,0,7658,hits
1,0,0,0,0,0,7650,hits
1,0,0,0,0,0,7661,hits
1,0,0,0,0,0,7652,hits
1,0,0,0,0,0,7652,hits
1,0,0,0,0,0,7649,hits
1,0,0,0,0,0,7641,hits
1,0,0,0,0,0,7647,hits
1,0,0,0,0,0,7652,hits
1,0,0,0,0,0,7631,hits
1,0,0,0,0,0,7639,hits
1,0,0,0,0,0,7643,hits
1,0,0,0,0,0,7633,hits
1,0,0,0,0,0,7641,hits
1,0,0,0,0,0,7632,hits
1,0,0,0,0,0,7626,hits
1,0,0,0,0,0,7632,hits
1,0,0,0,0,0,7631,hits
1,0,0,0,0,0,7630,hits
1,0,0,0,0,0,7622,hits
1,0,0,0,0,0,7616,hits
1,0,0,0,0,0,7611,hits
1,0,0,0,0,0,7622,hits
1,0,0,0,0,0,7604,hits
1,0,0,0,0,0,7613,hits
1,0,0,0,0,0,7610,hits
1,0,0,0,0,0,7602,hits
1,0,0,0,0,0,7604,hits
1,0,0,0,0,0,7598,hits
1,0,0,0,0,0,7592,hits
1,0,0,0,0,0,7602,hits
1,0,0,0,0,0,7593,hits
1,0,0,0,0,0,7586,hits
1,0,0,0,0,0,7593,hits
1,0,0,0,0,0,7582,hits
1,0,0,0,0,0,7589,hits
