S0,S1,S2,S3,main_pump,aux_pump,ultrasound,class
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,11,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,11,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,11,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,11,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,15,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,14,normal
0,0,0,0,0,0,13,normal
0,0,0,0,0,0,13,normal
