S0,S1,S2,S3,main_pump,aux_pump,ultrasound,class
1,1,0,0,0,0,7293,object
1,1,0,0,0,0,7305,object
1,1,0,0,0,0,7298,object
1,1,0,0,0,0,7293,object
1,1,0,0,0,0,7300,object
1,1,0,0,0,0,7296,object
1,1,0,0,0,0,7284,object
1,1,0,0,0,0,7285,object
1,1,0,0,0,0,7290,object
1,1,0,0,0,0,7278,object
1,1,0,0,0,0,7273,object
1,1,0,0,0,0,7272,object
1,1,0,0,0,0,7279,object
1,1,0,0,0,0,7272,object
1,1,0,0,0,0,7271,object
1,1,0,0,0,0,7276,object
1,1,0,0,0,0,7272,object
1,1,0,0,0,0,7265,object
1,1,0,0,0,0,7271,object
1,1,0,0,0,0,7261,object
1,1,0,0,0,0,7266,object
1,1,0,0,0,0,7272,object
1,1,0,0,0,0,7251,object
1,1,0,0,0,0,7262,object
1,1,0,0,0,0,7261,object
1,1,0,0,0,0,7252,object
1,1,0,0,0,0,7246,object
1,1,0,0,0,0,7252,object
1,1,0,0,0,0,7243,object
1,1,0,0,0,0,7245,object
1,1,0,0,0,0,7251,object
1,1,0,0,0,0,7243,object
1,1,0,0,0,0,7243,object
1,1,0,0,0,0,7240,object
1,1,0,0,0,0,7243,object
1,1,0,0,1,0,7234,object
1,1,0,0,1,0,7236,object
1,1,0,0,1,0,7243,object
1,1,0,0,1,0,7234,object
1,1,0,0,1,0,7243,object
1,1,0,0,1,0,7256,object
1,1,0,0,1,0,7256,object
1,1,0,0,1,0,7271,object
1,1,0,0,1,0,7276,object
1,1,0,0,1,0,7273,object
1,1,0,0,1,0,7290,object
1,1,0,0,1,0,7293,object
1,1,0,0,1,0,7291,object
1,1,0,0,1,0,7300,object
1,1,0,0,1,0,7315,object
1,1,0,0,1,0,7317,object
1,1,0,0,1,0,7328,object
1,1,0,0,1,0,7328,object
1,1,0,0,1,0,7339,object
1,1,0,0,1,0,7337,object
1,1,0,0,1,0,7345,object
1,1,0,0,1,0,7350,object
1,1,0,0,1,0,7357,object
1,1,0,0,1,0,7360,object
1,1,0,0,1,0,7366,object
1,1,0,0,1,0,7378,object
1,1,0,0,1,0,7378,object
1,1,0,0,1,0,7390,object
1,1,0,0,1,0,7390,object
1,1,0,0,1,0,7405,object
1,1,0,0,1,0,7406,object
1,1,0,0,1,0,7405,object
1,1,0,0,1,0,7417,object
